address,city,state,zip,price,beds,baths,sqft,lat,lon,url,flags,district,district_grades,elem,mid,high,top_school,top_rating,school_count
39 S Main St Apt 3,Millbury,MA,01527,1750.0,1.0,1.0,700.0,42.188679,-71.757172,https://www.realtor.com/rentals/details/39-S-Main-St-3_Millbury_MA_01527_M96567-88407,UNIT|ROOM|MULTI,Millbury School District,PK-12,7.0,,,Grafton Elementary School,7,1
41 Howe Ave Unit A,Millbury,MA,01527,1900.0,2.0,1.0,1260.0,42.197205,-71.758179,https://www.realtor.com/rentals/details/41-Howe-Ave-A_Millbury_MA_01527_M92658-19971,UNIT|ROOM,Millbury School District,PK-12,7.0,,,Grafton Elementary School,7,1
603 South St,Shrewsbury,MA,01545,5500.0,4.0,3.0,3350.0,42.267906,-71.674989,https://www.realtor.com/rentals/details/603-South-St_Shrewsbury_MA_01545_M93681-24707,,Shrewsbury School District,PK-12,7.0,9.0,,Annie E. Fales Elementary School,9,9
237 South St Apt 6,Shrewsbury,MA,01545,3500.0,3.0,2.0,1932.0,42.279497,-71.696282,https://www.realtor.com/rentals/details/237-South-St-Apt-6_Shrewsbury_MA_01545_M32959-62697,UNIT|MULTI,Shrewsbury School District,PK-12,6.8,9.0,,Calvin Coolidge School,9,7
237 South St Apt 28,Shrewsbury,MA,01545,2700.0,2.0,2.0,1372.0,42.279497,-71.696282,https://www.realtor.com/rentals/details/237-South-St-Apt-28_Shrewsbury_MA_01545_M43046-50113,UNIT|MULTI,Shrewsbury School District,PK-12,6.8,9.0,,Calvin Coolidge School,9,7
4 Cyrus Way Unit 4,Northborough,MA,01532,4200.0,3.0,2.0,2098.0,42.309554,-71.66039,https://www.realtor.com/rentals/details/4-Cyrus-Way_Northborough_MA_01532_M36264-23714,UNIT|MULTI,,,6.7,7.5,,Sarah W Gibbons Middle School,9,9
26 SW Cutoff Unit 26D,Northborough,MA,01532,1600.0,1.0,1.0,600.0,42.305759,-71.657845,https://www.realtor.com/rentals/details/26-SW-Cutoff-26D_Northborough_MA_01532_M99127-24912,UNIT,,,6.7,7.5,,Sarah W Gibbons Middle School,9,9
14 Avalon Dr Unit 8-8006,Northborough,MA,01532,3821.0,2.0,2.0,1716.0,42.286507,-71.674721,https://www.realtor.com/rentals/details/14-Avalon-Dr-8-8006_Northborough_MA_01532_M98091-98248,UNIT,,,6.6,8.0,,Sarah W Gibbons Middle School,9,11
14 Avalon Dr Unit 14-14317,Northborough,MA,01532,2740.0,1.0,1.0,919.0,42.286507,-71.674721,https://www.realtor.com/rentals/details/14-Avalon-Dr-14-14317_Northborough_MA_01532_M90350-43523,UNIT,,,6.6,8.0,,Sarah W Gibbons Middle School,9,11
151 Providence Rd Apt H,Grafton,MA,01519,1700.0,1.0,1.0,675.0,42.192623,-71.686859,https://www.realtor.com/rentals/details/151-Providence-Rd-Apt-H_Grafton_MA_01519_M37689-38216,UNIT|ROOM,Grafton School District,PK-12,6.5,7.0,,Grafton Elementary School,7,3
168 Upton Rd Unit 16,Grafton,MA,01519,2900.0,2.0,2.0,1846.0,42.199679,-71.657898,https://www.realtor.com/rentals/details/168-Upton-St-Unit-16_Grafton_MA_01519_M40136-07993,UNIT|MULTI,Grafton School District,PK-12,6.5,7.0,,Grafton Elementary School,7,3
75 Lebeaux Dr Unit 75,Shrewsbury,MA,01545,3750.0,2.0,2.0,2489.0,42.28104,-71.681366,https://www.realtor.com/rentals/details/75-Lebeaux-Dr_Shrewsbury_MA_01545_M37871-49464,UNIT|MULTI,Shrewsbury School District,PK-12,6.3,8.0,,Sarah W Gibbons Middle School,9,9
6 Boston Dr,Shrewsbury,MA,01545,3500.0,4.0,2.0,1536.0,42.288538,-71.693945,https://www.realtor.com/rentals/details/6-Boston-Dr_Shrewsbury_MA_01545_M44177-62398,,Shrewsbury School District,PK-12,6.3,7.5,,Oak Middle School,9,8
53 Arrowwood Dr,Shrewsbury,MA,01545,2800.0,2.0,2.0,1155.0,42.250444,-71.728147,https://www.realtor.com/rentals/details/53-Arrowwood-Dr_Shrewsbury_MA_01545_M46578-22721,,Shrewsbury School District,PK-12,6.2,6.5,,Calvin Coolidge School,9,7
151 Hartford Tpke Lot 12,Shrewsbury,MA,01545,1790.0,2.0,1.0,,42.248062,-71.729103,https://www.realtor.com/rentals/details/151-Hartford-Tpke-Lot-12_Shrewsbury_MA_01545_M93233-13583,UNIT,Shrewsbury School District,PK-12,6.2,6.5,,Calvin Coolidge School,9,7
17 Janet Cir,Shrewsbury,MA,01545,3000.0,3.0,1.0,1248.0,42.278993,-71.719303,https://www.realtor.com/rentals/details/17-Janet-Cir_Shrewsbury_MA_01545_M37846-78417,,Shrewsbury School District,PK-12,5.9,9.0,,Calvin Coolidge School,9,8
26 Williamsburg Ct Unit 22,Shrewsbury,MA,01545,2300.0,2.0,1.0,1018.0,42.278292,-71.728495,https://www.realtor.com/rentals/details/26-Williamsburg-Ct-Unit-22_Shrewsbury_MA_01545_M46532-08622,UNIT|MULTI,Shrewsbury School District,PK-12,5.8,9.0,,Calvin Coolidge School,9,10
20 Williamsburg Ct Unit 14,Shrewsbury,MA,01545,1700.0,1.0,1.0,695.0,42.278292,-71.728495,https://www.realtor.com/rentals/details/20-Williamsburg-Ct-Unit-14_Shrewsbury_MA_01545_M30471-00733,UNIT|MULTI,Shrewsbury School District,PK-12,5.8,9.0,,Calvin Coolidge School,9,10
112 Rodney St Apt 1,Worcester,MA,01605,2200.0,3.0,1.0,1280.0,42.276588,-71.786018,https://www.realtor.com/rentals/details/112-Rodney-St-Apt-1_Worcester_MA_01605_M91559-58298,UNIT,Worcester School District,PK-12,5.6,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,21
586 Franklin St Unit 1,Worcester,MA,01604,1965.0,2.0,1.0,1116.0,42.266281,-71.778397,https://www.realtor.com/rentals/details/586-Franklin-St-1_Worcester_MA_01604_M97605-26771,UNIT,Worcester School District,PK-12,5.6,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,22
74 Rodney St Apt 1,Worcester,MA,01605,1800.0,2.0,1.0,,42.275337,-71.786751,https://www.realtor.com/rentals/details/74-Rodney-St-Apt-1_Worcester_MA_01605_M92075-04725,UNIT|MULTI,Worcester School District,PK-12,5.6,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,21
31 Channing St Unit F,Worcester,MA,01605,2300.0,3.0,1.0,,42.276775,-71.790932,https://www.realtor.com/rentals/details/31-Channing-St-F_Worcester_MA_01605_M95499-12055,UNIT,Worcester School District,PK-12,5.6,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,21
586 Franklin St Unit 2,Worcester,MA,01604,1965.0,2.0,1.0,1023.0,42.266187,-71.778314,https://www.realtor.com/rentals/details/586-Franklin-St-2_Worcester_MA_01604_M45092-83423,UNIT,Worcester School District,PK-12,5.6,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,22
100 Elliot St Apt 1,Worcester,MA,01605,2200.0,3.0,1.0,1000.0,42.269604,-71.783531,https://www.realtor.com/rentals/details/100-Elliot-St-Apt-1_Worcester_MA_01605_M97632-77993,UNIT,Worcester School District,PK-12,5.6,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,22
21 Creston St Unit A,Worcester,MA,01604,2300.0,2.0,1.0,2030.0,42.271179,-71.780075,https://www.realtor.com/rentals/details/21-Creston-St-A_Worcester_MA_01604_M93030-69994,UNIT|MULTI,Worcester School District,PK-12,5.6,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,22
150 Belmont St,Worcester,MA,01605,2850.0,5.0,1.0,,42.272184,-71.789812,https://www.realtor.com/rentals/details/150-Belmont-St_Worcester_MA_01605_M30741-50213,ROOM,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
37 Rodney St Unit 1,Worcester,MA,01605,2500.0,4.0,1.0,1332.0,42.274094,-71.787102,https://www.realtor.com/rentals/details/37-Rodney-St-1_Worcester_MA_01605_M95092-97428,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
18 Walnut St Unit 1L,Worcester,MA,01608,2200.0,2.0,1.0,1000.0,42.26619,-71.803062,https://www.realtor.com/rentals/details/18-Walnut-St-Apt-1_Worcester_MA_01608_M96951-01728,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
79 Gage St Apt 3,Worcester,MA,01605,2200.0,3.0,1.0,5268.0,42.267353,-71.788498,https://www.realtor.com/rentals/details/79-Gage-St-Apt-3_Worcester_MA_01605_M96177-14871,UNIT|PRICE?,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
16 Everard St Apt 3,Worcester,MA,01605,2100.0,3.0,1.0,1400.0,42.273628,-71.786186,https://www.realtor.com/rentals/details/16-Everard-St-Apt-3_Worcester_MA_01605_M95839-95929,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
85 Prospect St Apt 1C,Worcester,MA,01605,1650.0,1.0,1.0,900.0,42.267231,-71.790344,https://www.realtor.com/rentals/details/85-Prospect-St-Apt-1C_Worcester_MA_01605_M99965-37094,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
62 Elliot St Apt 2,Worcester,MA,01605,2100.0,2.0,1.0,1038.0,42.269184,-71.789848,https://www.realtor.com/rentals/details/62-Elliot-St-Apt-2_Worcester_MA_01605_M90461-96664,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
5 Palmer St Unit 1,Worcester,MA,01605,2500.0,3.0,1.0,1050.0,42.271667,-71.793007,https://www.realtor.com/rentals/details/5-Palmer-St-1_Worcester_MA_01605_M95852-97175,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
53 E Central St Unit 3,Worcester,MA,01605,2300.0,2.0,2.0,1500.0,42.265251,-71.792126,https://www.realtor.com/rentals/details/53-E-Central-St-3_Worcester_MA_01605_M36737-01752,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
6 Chatham St Apt 305,Worcester,MA,01609,2400.0,1.0,1.0,830.0,42.262112,-71.803734,https://www.realtor.com/rentals/details/6-Chatham-St-Apt-305_Worcester_MA_01609_M97859-20109,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,23
75 Gage St Apt 3,Worcester,MA,01605,2200.0,3.0,1.0,1160.0,42.267059,-71.788589,https://www.realtor.com/rentals/details/75-Gage-St-Apt-3_Worcester_MA_01605_M98980-82114,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
83 Prospect St Apt 1,Worcester,MA,01605,2650.0,4.0,2.0,1240.0,42.267246,-71.790695,https://www.realtor.com/rentals/details/83-Prospect-St-Apt-1_Worcester_MA_01605_M91605-87796,UNIT,Worcester School District,PK-12,5.5,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
4 Homer St Unit 2,Worcester,MA,01602,1650.0,2.0,1.0,1400.0,42.274197,-71.813805,https://www.realtor.com/rentals/details/4-Homer-St-2_Worcester_MA_01602_M90952-05729,UNIT,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
27 Bowdoin St Apt 11,Worcester,MA,01609,1450.0,0.0,1.0,450.0,42.267578,-71.806099,https://www.realtor.com/rentals/details/27-Bowdoin-St-Apt-11_Worcester_MA_01609_M97142-56568,UNIT|MULTI,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
19 Hemans St,Worcester,MA,01605,,,,,42.285841,-71.80278,https://www.realtor.com/rentals/details/19-Hemans-St_Worcester_MA_01605_M39962-11402,,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
42 William St Apt 3,Worcester,MA,01609,2450.0,2.0,1.0,1500.0,42.26762,-71.807922,https://www.realtor.com/rentals/details/42-William-St-Apt-3_Worcester_MA_01609_M92654-21837,UNIT|ROOM,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
39 Wall St,Worcester,MA,01604,,,,,42.258953,-71.786034,https://www.realtor.com/rentals/details/39-Wall-St_Worcester_MA_01604_M90250-31439,,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
18 Gage St Apt 1,Worcester,MA,01605,1900.0,2.0,1.0,1200.0,42.264889,-71.790833,https://www.realtor.com/rentals/details/18-Gage-St-Apt-1_Worcester_MA_01605_M97573-83994,UNIT,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
275 Grafton St,Worcester,MA,01604,,,,,42.256453,-71.788211,https://www.realtor.com/rentals/details/275-Grafton-St_Worcester_MA_01604_M33653-09022,,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
42 William St Unit 2,Worcester,MA,01609,2550.0,2.0,1.0,1795.0,42.267616,-71.807922,https://www.realtor.com/rentals/details/42-William-St-2_Worcester_MA_01609_M97282-22540,UNIT|ROOM,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
21 Clarkson St Unit 1,Worcester,MA,01604,2200.0,2.0,1.0,1240.0,42.255877,-71.789562,https://www.realtor.com/rentals/details/21-Clarkson-St-1_Worcester_MA_01604_M35334-82636,UNIT|MULTI,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
42 William St Unit 1,Worcester,MA,01609,3600.0,4.0,2.0,1800.0,42.267616,-71.807922,https://www.realtor.com/rentals/details/42-William-St-1_Worcester_MA_01609_M90389-62966,UNIT|ROOM,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
78 Elm St Apt 1,Worcester,MA,01609,1850.0,0.0,1.0,300.0,42.265469,-71.810295,https://www.realtor.com/rentals/details/78-Elm-St-Apt-1_Worcester_MA_01609_M93104-80758,UNIT,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
28 William St Apt 22,Worcester,MA,01609,1500.0,1.0,1.0,,42.267422,-71.806412,https://www.realtor.com/rentals/details/28-William-St-Apt-22_Worcester_MA_01609_M93887-21520,UNIT,Worcester School District,PK-12,5.4,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
285 Plantation St Unit Main,Worcester,MA,01604,2109.0,2.0,2.0,950.0,42.269066,-71.773697,https://www.realtor.com/rentals/details/285-Plantation-St-Main_Worcester_MA_01604_M93012-22845,UNIT,Worcester School District,PK-12,5.3,5.2,10.0,Massachusetts Academy for Math and Science at WPI,10,20
237 Park Ave Ste 3,Worcester,MA,01609,2850.0,4.0,2.0,1896.0,42.265633,-71.818314,https://www.realtor.com/rentals/details/237-Park-Ave-Ste-3_Worcester_MA_01609_M95991-90670,UNIT,Worcester School District,PK-12,5.3,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,22
25 Dustin St Apt 3,Worcester,MA,01604,2400.0,2.0,1.0,1100.0,42.272846,-71.762924,https://www.realtor.com/rentals/details/25-Dustin-St-Apt-3_Worcester_MA_01604_M96676-74667,UNIT,Worcester School District,PK-12,5.3,5.2,10.0,Massachusetts Academy for Math and Science at WPI,10,20
308 Plantation St Apt 3,Worcester,MA,01604,2500.0,4.0,1.0,1600.0,42.269829,-71.770828,https://www.realtor.com/rentals/details/308-Plantation-St-Apt-3_Worcester_MA_01604_M98332-21887,UNIT,Worcester School District,PK-12,5.3,5.2,10.0,Massachusetts Academy for Math and Science at WPI,10,20
8A W Boylston St Unit 2D,Worcester,MA,01605,1200.0,1.0,1.0,600.0,42.299085,-71.766425,https://www.realtor.com/rentals/details/8A-W-Boylston-St-2D_Worcester_MA_01605_M99881-59787,UNIT,Worcester School District,PK-12,5.3,5.7,10.0,Massachusetts Academy for Math and Science at WPI,10,20
25 Carver St Unit 1,Worcester,MA,01604,2900.0,4.0,2.0,1860.0,42.271793,-71.766174,https://www.realtor.com/rentals/details/25-Carver-St-1_Worcester_MA_01604_M91785-08958,UNIT|MULTI,Worcester School District,PK-12,5.3,5.2,10.0,Massachusetts Academy for Math and Science at WPI,10,20
