lat,lon,city,state,address,elementary,middle,high,property_url
42.473819,-71.457627,Acton,MA,139 Prospect St Apt 1,Choice Of 6,Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/139-Prospect-St-Apt-1_Acton_MA_01720_M39206-42368
42.477158,-71.472235,Acton,MA,23 Spruce St Unit B,Douglas Elementary School,,,https://www.realtor.com/realestateandhomes-detail/23-Spruce-St-B_Acton_MA_01720_M36908-81658
42.473679,-71.427405,Acton,MA,51 Hosmer St,Parker Damon,Rj Grey Junior High,Act-Box High,https://www.realtor.com/realestateandhomes-detail/51-Hosmer-St_Acton_MA_01720_M33333-10692
42.498736,-71.41322,Acton,MA,136 Davis Rd,Parker Damon,R.J. Grey Junior High,Acton- Boxborough,https://www.realtor.com/realestateandhomes-detail/136-Davis-Rd_Acton_MA_01720_M37222-80524
42.461512,-71.46272,Acton,MA,15 Martin St,,Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/15-Martin-St_Acton_MA_01720_M32460-74972
42.48418,-71.431213,Acton,MA,32 Concord Rd Unit B,Conant,Rj Grey,A-B Hs,https://www.realtor.com/realestateandhomes-detail/32-Concord-Rd-B_Acton_MA_01720_M91176-41009
42.482,-71.476018,Acton,MA,5 Elm St Apt 1,Boardwalk Campus (2026-7),Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/5-Elm-St-Apt-1_Acton_MA_01720_M46535-05343
42.489201,-71.415283,Acton,MA,209 Great Rd Apt C1,Acton,Acton,Acton/Boxboro,https://www.realtor.com/realestateandhomes-detail/209-Great-Rd-Apt-C1_Acton_MA_01720_M30889-61759
42.503502,-71.419713,Acton,MA,5 Wampus Ave Apt 4,Choice Of 6,Rj Grey,Abrhs,https://www.realtor.com/realestateandhomes-detail/5-Wampus-Ave-Apt-4_Acton_MA_01720_M46246-65355
42.468487,-71.47847,Acton,MA,92A Willow St Unit 2,Acton,Abrjhs,Abrhs,https://www.realtor.com/realestateandhomes-detail/92A-Willow-St-2_Acton_MA_01720_M98368-22148
