lat,lon,city,state,address,level,mls_name,ncessch,nces_name,leaid,match_method
42.626821,-73.127304,Adams,MA,W Maple St Lot 9,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.070821,-72.633527,Agawam Town,MA,19 Mansion Woods Dr Unit A,elementary,Benjamin J Phelps,250180000027,Benjamin J Phelps,2501800,best_match
42.072882,-72.671529,Agawam Town,MA,63 Columbia Dr,elementary,Granger Elementary,250180000028,Clifford M Granger,2501800,distinctive_token
42.087075,-72.676128,Agawam Town,MA,171 Thalia Dr,elementary,Clifford Granger,250180000028,Clifford M Granger,2501800,best_match
42.278591,-73.429329,Alford,MA,12 Harrison Calkins Rd,elementary,Undermountain,250253001999,Muddy Brook Regional Elementary School,2502530,single_school
42.252215,-73.404054,Alford,MA,130 East Rd,elementary,Undermountain,,,,
42.239762,-73.403535,Alford,MA,50 East Rd,elementary,Undermountain,,,,
42.847172,-70.961939,Amesbury Town,MA,31 Kimball Rd,elementary,Charles C. Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.8428,-70.932235,Amesbury Town,MA,4 Fairview Ave,elementary,Charles C Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.864739,-70.927436,Amesbury Town,MA,2 California Ln,elementary,Shay/ Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.854879,-70.932261,Amesbury Town,MA,142 Main St Unit 4,elementary,Shay/Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.859349,-70.924578,Amesbury Town,MA,6 Spring St,elementary,Shay/Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.855722,-70.978166,Amesbury Town,MA,104 Kimball Rd,elementary,Shay/ Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.843218,-70.922851,Amesbury Town,MA,372 Main St,elementary,Shay/Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.857957,-70.932684,Amesbury Town,MA,25 Pond St Unit 203,elementary,Shay Memorial/ Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.851411,-70.913271,Amesbury Town,MA,234 Elm St,elementary,Charles C Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.843172,-70.978825,Amesbury Town,MA,34 Amesbury Ave,elementary,Shay Or Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.843168,-70.915772,Amesbury Town,MA,435 Main St,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.859254,-70.935467,Amesbury Town,MA,10 Essex St,elementary,Shay Memorial/ Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.855659,-70.931384,Amesbury Town,MA,104 Main St Unit 2,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.84325,-70.916786,Amesbury Town,MA,425 Main St,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.85693,-70.976504,Amesbury Town,MA,102 Kimball Rd,elementary,Charles Cashman Elementary Sch,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.850293,-70.916823,Amesbury Town,MA,21 Lafayette St,elementary,Charles Cashman Elementaryshay,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.870521,-70.933509,Amesbury Town,MA,4 Fern Ave,elementary,Cashman/Jordan Shay,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.843956,-70.909081,Amesbury Town,MA,21 Clarks Rd Apt 204,elementary,Cashmen / Jordan Shay,,,,
42.856956,-70.931409,Amesbury Town,MA,14-16-18 Friend St,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.855466,-70.921741,Amesbury Town,MA,163 Elm St Unit 1,elementary,Cashman Elementary School,250186000036,Charles C Cashman Elementary,2501860,best_match
42.858623,-70.926615,Amesbury Town,MA,6 Richs Ct,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.845797,-70.924177,Amesbury Town,MA,45 Macy St Apt 207B,elementary,Charles Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.849976,-70.930281,Amesbury Town,MA,7 E Greenwood St,elementary,Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.85693,-70.976504,Amesbury Town,MA,102 Kimball Rd,elementary,Charles C. Cashman Elementary,250186000036,Charles C Cashman Elementary,2501860,best_match
42.834629,-70.933846,Amesbury Town,MA,25R Beacon St,elementary,Cashman Elementary School,250186000036,Charles C Cashman Elementary,2501860,best_match
42.857152,-70.939688,Amesbury Town,MA,47 Whitehall Rd,elementary,Cashman/Jordan Shay Memorial,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.840448,-70.908276,Amesbury Town,MA,4 Point Shore Overlook,elementary,Amesbury,250186000033,Amesbury Elementary,2501860,best_match
42.845797,-70.924177,Amesbury Town,MA,45 Macy St Apt 207B,elementary,Charles Cashman Elementary Sch,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.862467,-70.978694,Amesbury Town,MA,31 Newton Rd,elementary,Shay/Cashman,250186000036,Charles C Cashman Elementary,2501860,distinctive_token
42.834684,-70.934001,Amesbury Town,MA,25 Beacon St,elementary,Cashman Elementary School,250186000036,Charles C Cashman Elementary,2501860,best_match
42.408758,-72.527795,Amherst Town,MA,42 Harris St,elementary,Amethyst Brook Elementary,,,,
42.344025,-72.518841,Amherst Town,MA,23 S Mount Holyoke Dr,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.379521,-72.528037,Amherst Town,MA,138 Sunset Ave,elementary,Amethyst Brook Elementary,,,,
42.416106,-72.521149,Amherst Town,MA,166 Summer St,elementary,Wildwood Elm/Private,250189000041,Wildwood Elementary,2501890,distinctive_token
42.415545,-72.52669,Amherst Town,MA,177 Montague Rd,elementary,Wildwood,250189000041,Wildwood Elementary,2501890,best_match
42.373291,-72.479608,Amherst Town,MA,25 Echo Hill Rd,elementary,Amherst,,,,
42.407749,-72.513427,Amherst Town,MA,31 Colonial Ct,elementary,Amethyst Brook Elementary,,,,
42.424051,-72.505718,Amherst Town,MA,160 E Leverett Rd,elementary,Amherst,,,,
42.376675,-72.512133,Amherst Town,MA,38 Gray St,elementary,Amethyst Brook Elem,,,,
42.346755,-72.507064,Amherst Town,MA,18 Evening Star Dr,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.418431,-72.53548,Amherst Town,MA,274 Sunderland Rd,elementary,Amherst,,,,
42.360315,-72.525358,Amherst Town,MA,51 Jeffrey Ln,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
42.374478,-72.523141,Amherst Town,MA,33 Gaylord St,elementary,Crocker,250189000038,Crocker Farm Elementary,2501890,best_match
42.382788,-72.508289,Amherst Town,MA,18 Red Gate Ln,elementary,Amherst,,,,
42.382154,-72.526805,Amherst Town,MA,9 McClure St,elementary,Amethyst Brook,,,,
42.374436,-72.530912,Amherst Town,MA,51 Amity Pl Unit 51,elementary,Amethyst Brook Elem,,,,
42.388198,-72.504432,Amherst Town,MA,274 Strong St,elementary,Amherst,,,,
42.377769,-72.509102,Amherst Town,MA,55-57 High St,elementary,Amethyst Brook,,,,
42.340912,-72.47685,Amherst Town,MA,585 Station Rd,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.418358,-72.509175,Amherst Town,MA,418 State St,elementary,Amherst,,,,
42.376084,-72.523094,Amherst Town,MA,155 Amity St,elementary,Amethyst Brook,,,,
42.349956,-72.524223,Amherst Town,MA,170 E Hadley Rd Apt 120,elementary,Amherst,,,,
42.35367,-72.487851,Amherst Town,MA,23 Summerfield Rd,elementary,Amethyst Brook,,,,
42.376426,-72.523051,Amherst Town,MA,151 Amity St Apt 2,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.417401,-72.50963,Amherst Town,MA,390 State St,elementary,Amethyst Brook,,,,
42.38139,-72.516907,Amherst Town,MA,33-37 Cottage St,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.403245,-72.499584,Amherst Town,MA,409 Henry St,elementary,Amethyst Brook Elementary,,,,
42.380015,-72.525975,Amherst Town,MA,254 Lincoln Ave,elementary,Wildwood,250189000041,Wildwood Elementary,2501890,best_match
42.405946,-72.52314,Amherst Town,MA,208 Rolling Ridge Rd,elementary,Amethyst Brook (New School),,,,
42.377769,-72.509102,Amherst Town,MA,55-57 High St,elementary,Amethyst Brook,,,,
42.388272,-72.507393,Amherst Town,MA,210 Strong St,elementary,Amethyst Brook Elementary,,,,
42.38139,-72.516907,Amherst Town,MA,33-37 Cottage St,elementary,Fort River,250189000039,Fort River Elementary,2501890,best_match
42.316716,-72.475971,Amherst Town,MA,28 Hulst Rd,elementary,Crocker Farm,250189000038,Crocker Farm Elementary,2501890,best_match
