lat,lon,city,state,address,elementary,middle,high,property_url
42.053397,-70.6739,Duxbury,MA,68 Abrams Hill Rd,Alden/Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/68-Abrams-Hill-Rd_Duxbury_MA_02332_M36227-23596
42.039842,-70.673273,Duxbury,MA,32 Harrison St,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/32-Harrison-St_Duxbury_MA_02332_M30193-04528
42.011583,-70.721551,Duxbury,MA,53 Bay Farm Rd Unit 53,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/53-Bay-Farm-Rd_Duxbury_MA_02332_M32546-80776
42.08286,-70.729961,Duxbury,MA,20 Amado Way,Chandler,Alden,,https://www.realtor.com/realestateandhomes-detail/20-Amado-Way_Duxbury_MA_02332_M36550-87401
42.015382,-70.703206,Duxbury,MA,44 Soule Ave,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/44-Soule-Ave_Duxbury_MA_02332_M38778-71612
42.032555,-70.68596,Duxbury,MA,20 Possum Run,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/20-Possum-Run_Duxbury_MA_02332_M44072-79112
42.023542,-70.691332,Duxbury,MA,91 Bay View Rd,Chandler,Alden,Alden,https://www.realtor.com/realestateandhomes-detail/91-Bay-View-Rd_Duxbury_MA_02332_M34928-47415
42.005603,-70.721135,Duxbury,MA,70 Parks St Apt 18,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/70-Parks-St-Apt-18_Duxbury_MA_02332_M39735-40807
42.0528,-70.69792,Duxbury,MA,9 S Pasture Ln,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/9-S-Pasture-Ln_Duxbury_MA_02332_M30059-56503
42.044472,-70.751641,Duxbury,MA,47 Wellington Ln,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/47-Wellington-Ln_Duxbury_MA_02332_M37141-74219
42.073706,-70.716173,Duxbury,MA,15 Lady Slipper Ln,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/15-Lady-Slipper-Ln_Duxbury_MA_02332_M40448-30555
42.007344,-70.720295,Duxbury,MA,80 Parks St Apt 6,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/80-Parks-St-Apt-6_Duxbury_MA_02332_M32426-81142
